"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/Character/MainChar/Mesh/silah/silahmat.silahmat","0","0","12","1","0.000000","0","0"
"/Engine/MapTemplates/Materials/BasicAsset03.BasicAsset03","0","0","21","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/armadillomat/Material.Material","0","0","60","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/Character/MainChar/Mesh/fesadam/fes.fes","0","0","138","1","0.000000","0","0"
"/Game/Character/MainChar/Mesh/fesadam/Spessman1.Spessman1","0","122","6","1","72.773468","0","1503"
"/Game/Character/MainChar/Mesh/fesadam/Hat.Hat","0","58","8","1","20.686485","0","343"
"/Game/Character/MainChar/Mesh/fesadam/cape.cape","0","114","9","1","54.662903","0","1057"
"/Game/Character/MainChar/Mesh/fesadam/Armor_Puch.Armor_Puch","0","62","8","1","23.067801","0","354"
"/Engine/Tutorial/SubEditors/TutorialAssets/M_smoke_subUV_blackbody.M_smoke_subUV_blackbody","0","0","24","1","0.000000","0","0"
"/Game/Character/MainChar/Mesh/silah/Bronze.Bronze","0","0","12","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/NewMaterial.NewMaterial","0","0","19","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/mainmat.mainmat","0","0","76","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/Glass.Glass","0","0","42","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/PlatformOpacityMAT.PlatformOpacityMAT","0","0","28","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/rockmat.rockmat","0","0","44","1","0.000000","0","0"
"/Engine/MapTemplates/Materials/BasicAsset03_2.BasicAsset03_2","0","0","21","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/omurcekmat/Bigboss.Bigboss","0","0","60","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/firstaid.firstaid","0","0","12","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/shroommat/Material_017.Material_017","0","0","31","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/LED_secreen.LED_secreen","0","0","21","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/labmat.labmat","0","0","21","1","0.000000","0","0"
"/Game/SideScrollerBP/Blueprints/Enemy/omurcekmat.omurcekmat","0","0","60","1","0.000000","0","0"
"/Game/SideScrollerBP/spaceship/testuvmaterial.testuvmaterial","0","0","76","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/decal/mmdecal.mmdecal","0","0","33","1","0.000000","0","0"
"/Game/SideScrollerBP/BuildFiles/Materials/NewMaterial_2.NewMaterial_2","0","0","19","1","0.000000","0","0"
"/Game/Character/MainChar/Mesh/silah/Brass.Brass","0","0","12","1","0.000000","0","0"
"/Game/Character/MainChar/Mesh/fesadam/mrpull.mrpull","0","0","24","1","0.000000","0","0"
"/Game/Character/MainChar/Mesh/fesadam/Spessman2.Spessman2","0","24","8","1","9.535192","0","64"
"/Game/Character/MainChar/Mesh/fesadam/Material.Material","0","24","8","1","8.454178","0","64"
"/Game/Mannequin/Character/Materials/M_Male_Body.M_Male_Body","0","0","156","2","0.000000","0","0"
